,County,Confirmed Cases,Probable Cases,Total Cases,Deaths,Vaccine,Population,Total Cases / 100k
0,Anderson,7336.0,3624.0,10960.0,256.0,24776.0,59025.0,59025.0
1,Andrews,3733.0,1357.0,5090.0,74.0,8366.0,19279.0,19279.0
2,Angelina,9891.0,7183.0,17074.0,503.0,40498.0,90989.0,90989.0
3,Aransas,4131.0,1415.0,5546.0,98.0,14327.0,23710.0,23710.0
4,Archer,2310.0,332.0,2642.0,30.0,4235.0,9228.0,9228.0
5,Armstrong,442.0,252.0,694.0,10.0,727.0,2001.0,2001.0
6,Atascosa,12493.0,3236.0,15729.0,240.0,26017.0,50898.0,50898.0
7,Austin,5461.0,1540.0,7001.0,84.0,15048.0,32067.0,32067.0
8,Bailey,1046.0,717.0,1763.0,39.0,2723.0,7113.0,7113.0
9,Bandera,3039.0,1267.0,4306.0,80.0,10399.0,23129.0,23129.0
10,Bastrop,20056.0,7244.0,27300.0,254.0,52553.0,89564.0,89564.0
11,Baylor,393.0,543.0,936.0,33.0,1476.0,3751.0,3751.0
12,Bee,7366.0,2609.0,9975.0,155.0,16815.0,33471.0,33471.0
13,Bell,66523.0,19765.0,86288.0,945.0,163770.0,359255.0,359255.0
14,Bexar,566483.0,131330.0,697813.0,6501.0,1332284.0,1997417.0,1997417.0
15,Blanco,1915.0,1302.0,3217.0,35.0,6296.0,12159.0,12159.0
16,Borden,92.0,32.0,124.0,2.0,201.0,680.0,680.0
17,Bosque,3300.0,1591.0,4891.0,76.0,8636.0,19062.0,19062.0
18,Bowie,13902.0,10750.0,24652.0,455.0,34101.0,96380.0,96380.0
19,Brazoria,96251.0,20715.0,116966.0,1039.0,225677.0,380439.0,380439.0
20,Brazos,65872.0,9247.0,75119.0,436.0,120850.0,230789.0,230789.0
21,Brewster,1032.0,330.0,1362.0,34.0,5160.0,9092.0,9092.0
22,Briscoe,433.0,146.0,579.0,8.0,641.0,1572.0,1572.0
23,Brooks,1388.0,692.0,2080.0,55.0,7326.0,7115.0,7115.0
24,Brown,6813.0,8444.0,15257.0,236.0,16131.0,38993.0,38993.0
25,Burleson,4782.0,1343.0,6125.0,68.0,9030.0,18373.0,18373.0
26,Burnet,11061.0,2546.0,13607.0,179.0,26188.0,48716.0,48716.0
27,Caldwell,15091.0,2649.0,17740.0,186.0,24898.0,43199.0,43199.0
28,Calhoun,4513.0,2558.0,7071.0,54.0,11533.0,22028.0,22028.0
29,Callahan,1667.0,1834.0,3501.0,80.0,5347.0,14070.0,14070.0
30,Cameron,95567.0,39586.0,135153.0,2118.0,353438.0,426210.0,426210.0
31,Camp,2079.0,1510.0,3589.0,78.0,5698.0,12914.0,12914.0
32,Carson,1183.0,569.0,1752.0,38.0,2102.0,5951.0,5951.0
33,Cass,5568.0,3352.0,8920.0,204.0,10607.0,30451.0,30451.0
34,Castro,2221.0,587.0,2808.0,48.0,3277.0,7380.0,7380.0
35,Chambers,12109.0,726.0,12835.0,74.0,22126.0,44298.0,44298.0
36,Cherokee,4057.0,5828.0,9885.0,261.0,21783.0,53539.0,53539.0
37,Childress,2834.0,219.0,3053.0,35.0,3710.0,7038.0,7038.0
38,Clay,2156.0,372.0,2528.0,44.0,4495.0,10351.0,10351.0
39,Cochran,737.0,301.0,1038.0,25.0,1115.0,2904.0,2904.0
40,Coke,409.0,674.0,1083.0,21.0,1305.0,3390.0,3390.0
41,Coleman,1327.0,753.0,2080.0,77.0,3133.0,8191.0,8191.0
42,Collin,196705.0,79593.0,276298.0,1616.0,717594.0,1033046.0,1033046.0
43,Collingsworth,558.0,339.0,897.0,17.0,975.0,2853.0,2853.0
44,Colorado,3538.0,1015.0,4553.0,68.0,11460.0,22283.0,22283.0
45,Comal,26594.0,16682.0,43276.0,582.0,98076.0,156317.0,156317.0
46,Comanche,2687.0,1359.0,4046.0,82.0,6263.0,13878.0,13878.0
47,Concho,671.0,727.0,1398.0,14.0,1396.0,2716.0,2716.0
48,Cooke,6645.0,1904.0,8549.0,146.0,16022.0,40477.0,40477.0
49,Coryell,17158.0,4220.0,21378.0,235.0,33076.0,75137.0,75137.0
50,Cottle,340.0,52.0,392.0,9.0,518.0,1354.0,1354.0
51,Crane,430.0,1124.0,1554.0,25.0,1765.0,4678.0,4678.0
52,Crockett,189.0,1207.0,1396.0,20.0,1637.0,3461.0,3461.0
53,Crosby,1190.0,1114.0,2304.0,46.0,2590.0,5702.0,5702.0
54,Culberson,506.0,48.0,554.0,14.0,1164.0,2211.0,2211.0
55,Dallam,1785.0,661.0,2446.0,45.0,3125.0,7053.0,7053.0
56,Dallas,573805.0,121794.0,695599.0,7126.0,1608328.0,2647576.0,2647576.0
57,Dawson,1992.0,1590.0,3582.0,101.0,4482.0,12720.0,12720.0
58,Deaf Smith,4415.0,1409.0,5824.0,118.0,8044.0,19572.0,19572.0
59,Delta,817.0,1247.0,2064.0,27.0,1825.0,5295.0,5295.0
60,Denton,157660.0,57421.0,215081.0,1447.0,561167.0,886563.0,886563.0
61,DeWitt,4679.0,2632.0,7311.0,111.0,9380.0,20611.0,20611.0
62,Dickens,244.0,278.0,522.0,16.0,724.0,2119.0,2119.0
63,Dimmit,5055.0,1149.0,6204.0,52.0,7551.0,9709.0,9709.0
64,Donley,500.0,819.0,1319.0,26.0,1215.0,3228.0,3228.0
65,Duval,3123.0,1239.0,4362.0,74.0,7387.0,10907.0,10907.0
66,Eastland,2378.0,1050.0,3428.0,120.0,6716.0,18307.0,18307.0
67,Ector,23459.0,20585.0,44044.0,734.0,71818.0,167383.0,167383.0
68,Edwards,377.0,205.0,582.0,12.0,789.0,1959.0,1959.0
69,El Paso,233532.0,22213.0,255745.0,3891.0,663923.0,852224.0,852224.0
70,Ellis,43553.0,14264.0,57817.0,616.0,101497.0,188464.0,188464.0
71,Erath,6708.0,3285.0,9993.0,132.0,16221.0,43042.0,43042.0
72,Falls,3668.0,830.0,4498.0,70.0,8199.0,17401.0,17401.0
73,Fannin,4735.0,3381.0,8116.0,193.0,15038.0,36230.0,36230.0
74,Fayette,3624.0,1869.0,5493.0,117.0,13341.0,26328.0,26328.0
75,Fisher,632.0,99.0,731.0,27.0,1411.0,3859.0,3859.0
76,Floyd,1370.0,985.0,2355.0,50.0,2544.0,5535.0,5535.0
77,Foard,194.0,60.0,254.0,12.0,519.0,1139.0,1139.0
78,Fort Bend,209886.0,35794.0,245680.0,1246.0,602229.0,805788.0,805788.0
79,Franklin,1674.0,997.0,2671.0,46.0,4067.0,10791.0,10791.0
80,Freestone,2477.0,1836.0,4313.0,87.0,8091.0,20621.0,20621.0
81,Frio,5092.0,1585.0,6677.0,95.0,14437.0,19103.0,19103.0
82,Gaines,1708.0,692.0,2400.0,85.0,4723.0,21170.0,21170.0
83,Galveston,104176.0,15674.0,119850.0,899.0,211456.0,339931.0,339931.0
84,Garza,688.0,815.0,1503.0,30.0,3239.0,6115.0,6115.0
85,Gillespie,3795.0,2487.0,6282.0,120.0,15004.0,27375.0,27375.0
86,Glasscock,89.0,145.0,234.0,3.0,618.0,1369.0,1369.0
87,Goliad,1030.0,537.0,1567.0,34.0,3354.0,8007.0,8007.0
88,Gonzales,3707.0,1658.0,5365.0,106.0,10912.0,20769.0,20769.0
89,Gray,4422.0,2678.0,7100.0,132.0,8867.0,21930.0,21930.0
90,Grayson,26320.0,5414.0,31734.0,683.0,60937.0,135612.0,135612.0
91,Gregg,13609.0,13576.0,27185.0,724.0,59374.0,126116.0,126116.0
92,Grimes,8781.0,1422.0,10203.0,128.0,16391.0,29466.0,29466.0
93,Guadalupe,30426.0,15276.0,45702.0,429.0,94142.0,166961.0,166961.0
94,Hale,7045.0,1423.0,8468.0,251.0,14479.0,33165.0,33165.0
95,Hall,1008.0,296.0,1304.0,24.0,1260.0,3017.0,3017.0
96,Hamilton,1743.0,364.0,2107.0,36.0,4286.0,8641.0,8641.0
97,Hansford,739.0,1598.0,2337.0,31.0,2248.0,5327.0,5327.0
98,Hardeman,578.0,71.0,649.0,21.0,1801.0,3856.0,3856.0
99,Hardin,6632.0,8029.0,14661.0,261.0,22263.0,59178.0,59178.0
100,Harris,1173851.0,99686.0,1273537.0,11610.0,3044041.0,4698655.0,4698655.0
101,Harrison,7485.0,8336.0,15821.0,238.0,26979.0,68559.0,68559.0
102,Hartley,1052.0,450.0,1502.0,3.0,2686.0,5861.0,5861.0
103,Haskell,520.0,612.0,1132.0,40.0,2188.0,5628.0,5628.0
104,Hays,65825.0,9378.0,75203.0,475.0,150316.0,228364.0,228364.0
105,Hemphill,1237.0,233.0,1470.0,9.0,1647.0,3838.0,3838.0
106,Henderson,13903.0,4611.0,18514.0,446.0,33991.0,82989.0,82989.0
107,Hidalgo,171735.0,95805.0,267540.0,3680.0,732628.0,886294.0,886294.0
108,Hill,7542.0,2666.0,10208.0,204.0,15313.0,37069.0,37069.0
109,Hockley,7813.0,1614.0,9427.0,169.0,10137.0,22862.0,22862.0
110,Hood,9745.0,5290.0,15035.0,298.0,30501.0,60984.0,60984.0
111,Hopkins,5557.0,3172.0,8729.0,191.0,15164.0,37312.0,37312.0
112,Houston,2449.0,2550.0,4999.0,120.0,9876.0,23381.0,23381.0
113,Howard,4038.0,3999.0,8037.0,193.0,12795.0,36294.0,36294.0
114,Hudspeth,918.0,255.0,1173.0,18.0,3643.0,3680.0,3680.0
115,Hunt,13156.0,6674.0,19830.0,374.0,43121.0,97842.0,97842.0
116,Hutchinson,6064.0,1579.0,7643.0,149.0,7429.0,20550.0,20550.0
117,Irion,287.0,318.0,605.0,3.0,673.0,1592.0,1592.0
118,Jack,1451.0,214.0,1665.0,31.0,3624.0,9265.0,9265.0
119,Jackson,3049.0,935.0,3984.0,63.0,6751.0,14561.0,14561.0
120,Jasper,4555.0,3675.0,8230.0,202.0,13502.0,35726.0,35726.0
121,Jeff Davis,205.0,72.0,277.0,10.0,1195.0,2411.0,2411.0
122,Jefferson,57473.0,5667.0,63140.0,879.0,127337.0,251590.0,251590.0
123,Jim Hogg,894.0,2909.0,3803.0,23.0,3146.0,5092.0,5092.0
124,Jim Wells,9971.0,4233.0,14204.0,225.0,23320.0,40204.0,40204.0
125,Johnson,39284.0,12886.0,52170.0,782.0,82705.0,174777.0,174777.0
126,Jones,3297.0,2052.0,5349.0,97.0,8802.0,19697.0,19697.0
127,Karnes,5344.0,1059.0,6403.0,75.0,8820.0,15508.0,15508.0
128,Kaufman,32822.0,9867.0,42689.0,557.0,73775.0,135410.0,135410.0
129,Kendall,5781.0,4038.0,9819.0,134.0,30344.0,47284.0,47284.0
130,Kenedy,54.0,50.0,104.0,2.0,216.0,390.0,390.0
131,Kent,75.0,148.0,223.0,4.0,289.0,759.0,759.0
132,Kerr,4997.0,6069.0,11066.0,204.0,26095.0,52829.0,52829.0
133,Kimble,469.0,468.0,937.0,16.0,1860.0,4604.0,4604.0
134,King,37.0,19.0,56.0,0.0,48.0,274.0,274.0
135,Kinney,705.0,126.0,831.0,14.0,1879.0,3575.0,3575.0
136,Kleberg,5786.0,3491.0,9277.0,155.0,19346.0,32135.0,32135.0
137,Knox,355.0,300.0,655.0,25.0,1441.0,3683.0,3683.0
138,La Salle,1900.0,696.0,2596.0,50.0,4833.0,7426.0,7426.0
139,Lamar,4726.0,7291.0,12017.0,281.0,19678.0,50440.0,50440.0
140,Lamb,3791.0,1345.0,5136.0,127.0,5599.0,12565.0,12565.0
141,Lampasas,5381.0,1005.0,6386.0,96.0,10175.0,21326.0,21326.0
142,Lavaca,2877.0,2028.0,4905.0,124.0,9197.0,20437.0,20437.0
143,Lee,2557.0,2687.0,5244.0,63.0,8230.0,17411.0,17411.0
144,Leon,3119.0,1197.0,4316.0,95.0,6998.0,17588.0,17588.0
145,Liberty,16520.0,5729.0,22249.0,417.0,40850.0,91098.0,91098.0
146,Limestone,4260.0,1853.0,6113.0,137.0,9397.0,23709.0,23709.0
147,Lipscomb,591.0,219.0,810.0,17.0,957.0,3208.0,3208.0
148,Live Oak,1748.0,679.0,2427.0,43.0,4163.0,12164.0,12164.0
149,Llano,3411.0,1707.0,5118.0,101.0,11610.0,21784.0,21784.0
150,Loving,102.0,301.0,403.0,1.0,32.0,96.0,96.0
151,Lubbock,76608.0,36808.0,113416.0,1394.0,152050.0,308880.0,308880.0
152,Lynn,1360.0,346.0,1706.0,41.0,2379.0,6151.0,6151.0
153,Madison,3217.0,1106.0,4323.0,59.0,6377.0,14188.0,14188.0
154,Marion,1090.0,949.0,2039.0,62.0,4120.0,9760.0,9760.0
155,Martin,873.0,537.0,1410.0,26.0,1779.0,5731.0,5731.0
156,Mason,343.0,714.0,1057.0,13.0,2168.0,4301.0,4301.0
157,Matagorda,8248.0,2067.0,10315.0,185.0,17640.0,36292.0,36292.0
158,Maverick,21936.0,2237.0,24173.0,479.0,57557.0,57888.0,57888.0
159,McCulloch,882.0,1063.0,1945.0,51.0,3152.0,8323.0,8323.0
160,McLennan,59559.0,15621.0,75180.0,970.0,134900.0,255400.0,255400.0
161,McMullen,146.0,40.0,186.0,10.0,331.0,749.0,749.0
162,Medina,8338.0,3833.0,12171.0,212.0,28588.0,53794.0,53794.0
163,Menard,278.0,380.0,658.0,13.0,1132.0,2128.0,2128.0
164,Midland,31129.0,16882.0,48011.0,516.0,76735.0,176814.0,176814.0
165,Milam,3426.0,2586.0,6012.0,109.0,11602.0,25185.0,25185.0
166,Mills,1226.0,396.0,1622.0,39.0,2147.0,4899.0,4899.0
167,Mitchell,1949.0,167.0,2116.0,52.0,3162.0,8531.0,8531.0
168,Montague,4529.0,845.0,5374.0,136.0,7200.0,19695.0,19695.0
169,Montgomery,129665.0,42377.0,172042.0,1382.0,354116.0,604391.0,604391.0
170,Moore,4066.0,2270.0,6336.0,115.0,9756.0,21046.0,21046.0
171,Morris,1876.0,1143.0,3019.0,76.0,5631.0,12428.0,12428.0
172,Motley,148.0,177.0,325.0,13.0,341.0,1205.0,1205.0
173,Nacogdoches,10476.0,4514.0,14990.0,278.0,29974.0,65027.0,65027.0
174,Navarro,6664.0,7815.0,14479.0,233.0,23881.0,52013.0,52013.0
175,Newton,1018.0,736.0,1754.0,64.0,3384.0,13317.0,13317.0
176,Nolan,3127.0,432.0,3559.0,108.0,6485.0,14256.0,14256.0
177,Nueces,73978.0,29158.0,103136.0,1348.0,212457.0,363049.0,363049.0
178,Ochiltree,2231.0,443.0,2674.0,50.0,3802.0,10219.0,10219.0
179,Oldham,342.0,308.0,650.0,6.0,764.0,2126.0,2126.0
180,Orange,7321.0,9947.0,17268.0,381.0,30660.0,82461.0,82461.0
181,Palo Pinto,7036.0,1019.0,8055.0,158.0,11252.0,29008.0,29008.0
182,Panola,3200.0,2586.0,5786.0,137.0,8577.0,24586.0,24586.0
183,Parker,31745.0,8675.0,40420.0,491.0,66693.0,141080.0,141080.0
184,Parmer,1554.0,1131.0,2685.0,54.0,3915.0,9501.0,9501.0
185,Pecos,2793.0,840.0,3633.0,72.0,9581.0,15052.0,15052.0
186,Polk,6159.0,3207.0,9366.0,265.0,22810.0,50293.0,50293.0
187,Potter,30227.0,2826.0,33053.0,669.0,54035.0,116063.0,116063.0
188,Presidio,830.0,384.0,1214.0,42.0,6539.0,6535.0,6535.0
189,Rains,1211.0,1060.0,2271.0,62.0,4775.0,12416.0,12416.0
190,Randall,27248.0,2688.0,29936.0,513.0,63900.0,139034.0,139034.0
191,Reagan,309.0,688.0,997.0,16.0,1571.0,3836.0,3836.0
192,Real,692.0,330.0,1022.0,25.0,1702.0,3499.0,3499.0
193,Red River,1211.0,1559.0,2770.0,74.0,4873.0,11649.0,11649.0
194,Reeves,2962.0,2673.0,5635.0,77.0,14233.0,16154.0,16154.0
195,Refugio,1419.0,876.0,2295.0,39.0,3816.0,6871.0,6871.0
196,Roberts,163.0,34.0,197.0,2.0,265.0,851.0,851.0
197,Robertson,4196.0,1189.0,5385.0,79.0,7943.0,17708.0,17708.0
198,Rockwall,22187.0,9549.0,31736.0,284.0,63543.0,103363.0,103363.0
199,Runnels,1247.0,1508.0,2755.0,72.0,4612.0,10121.0,10121.0
200,Rusk,7244.0,5466.0,12710.0,243.0,22433.0,54526.0,54526.0
201,Sabine,849.0,686.0,1535.0,94.0,3896.0,10917.0,10917.0
202,San Augustine,622.0,597.0,1219.0,47.0,3610.0,8458.0,8458.0
203,San Jacinto,4871.0,1860.0,6731.0,110.0,9973.0,29506.0,29506.0
204,San Patricio,11131.0,3440.0,14571.0,363.0,38237.0,66688.0,66688.0
205,San Saba,922.0,578.0,1500.0,39.0,2460.0,6227.0,6227.0
206,Schleicher,255.0,345.0,600.0,9.0,1301.0,2822.0,2822.0
207,Scurry,5711.0,438.0,6149.0,108.0,8006.0,16697.0,16697.0
208,Shackelford,236.0,863.0,1099.0,12.0,1207.0,3382.0,3382.0
209,Shelby,3304.0,2091.0,5395.0,139.0,9732.0,24249.0,24249.0
210,Sherman,380.0,160.0,540.0,16.0,1029.0,3077.0,3077.0
211,Smith,33924.0,23225.0,57149.0,1018.0,110859.0,231516.0,231516.0
212,Somervell,1393.0,837.0,2230.0,37.0,4136.0,9569.0,9569.0
213,Starr,16724.0,7481.0,24205.0,390.0,73239.0,63690.0,63690.0
214,Stephens,1035.0,1098.0,2133.0,53.0,3440.0,9556.0,9556.0
215,Sterling,117.0,212.0,329.0,9.0,503.0,1254.0,1254.0
216,Stonewall,79.0,344.0,423.0,7.0,601.0,1382.0,1382.0
217,Sutton,401.0,539.0,940.0,14.0,1663.0,3664.0,3664.0
218,Swisher,1378.0,1303.0,2681.0,34.0,2989.0,7439.0,7439.0
219,Tarrant,534778.0,110983.0,645761.0,5567.0,1221060.0,2060239.0,2060239.0
220,Taylor,15352.0,25511.0,40863.0,771.0,64830.0,139044.0,139044.0
221,Terrell,94.0,46.0,140.0,3.0,410.0,794.0,794.0
222,Terry,1616.0,1323.0,2939.0,87.0,5175.0,12544.0,12544.0
223,Throckmorton,100.0,196.0,296.0,10.0,607.0,1448.0,1448.0
224,Titus,6365.0,3932.0,10297.0,137.0,14082.0,33690.0,33690.0
225,Tom Green,10994.0,30030.0,41024.0,485.0,56880.0,117613.0,117613.0
226,Travis,260459.0,37098.0,297557.0,1844.0,917117.0,1273554.0,1273554.0
227,Trinity,2153.0,1106.0,3259.0,80.0,6301.0,14530.0,14530.0
228,Tyler,2216.0,2966.0,5182.0,91.0,8233.0,22735.0,22735.0
229,Upshur,3878.0,5220.0,9098.0,194.0,14785.0,41204.0,41204.0
230,Upton,162.0,801.0,963.0,19.0,1539.0,3619.0,3619.0
231,Uvalde,10342.0,1195.0,11537.0,152.0,14688.0,26743.0,26743.0
232,Val Verde,15182.0,685.0,15867.0,312.0,36395.0,50853.0,50853.0
233,Van Zandt,7601.0,5158.0,12759.0,300.0,21732.0,56376.0,56376.0
234,Victoria,19877.0,3331.0,23208.0,428.0,45978.0,91329.0,91329.0
235,Walker,19389.0,3103.0,22492.0,216.0,36422.0,75949.0,75949.0
236,Waller,9485.0,2147.0,11632.0,112.0,24447.0,54822.0,54822.0
237,Ward,2435.0,884.0,3319.0,50.0,4369.0,11530.0,11530.0
238,Washington,9303.0,1727.0,11030.0,157.0,18756.0,35570.0,35570.0
239,Webb,98586.0,13127.0,111713.0,1081.0,310958.0,280775.0,280775.0
240,Wharton,7961.0,3602.0,11563.0,229.0,22279.0,41224.0,41224.0
241,Wheeler,1025.0,326.0,1351.0,25.0,2114.0,5178.0,5178.0
242,Wichita,39601.0,1662.0,41263.0,749.0,61649.0,132920.0,132920.0
243,Wilbarger,3313.0,941.0,4254.0,91.0,6705.0,12465.0,12465.0
244,Willacy,6932.0,1824.0,8756.0,137.0,15068.0,21566.0,21566.0
245,Williamson,135774.0,34599.0,170373.0,940.0,418728.0,589216.0,589216.0
246,Wilson,8482.0,4354.0,12836.0,167.0,27130.0,52127.0,52127.0
247,Winkler,1605.0,617.0,2222.0,36.0,3085.0,7990.0,7990.0
248,Wise,16349.0,3319.0,19668.0,285.0,27928.0,69609.0,69609.0
249,Wood,5742.0,4067.0,9809.0,307.0,20488.0,45084.0,45084.0
250,Yoakum,1119.0,528.0,1647.0,43.0,3526.0,8829.0,8829.0
251,Young,3778.0,707.0,4485.0,102.0,7516.0,19029.0,19029.0
252,Zapata,2623.0,1888.0,4511.0,57.0,8613.0,14196.0,14196.0
253,Zavala,3615.0,922.0,4537.0,70.0,6181.0,12116.0,12116.0
